Nick	Overview	Name	Romanized Name	Nationality	Born	Status	Years Active (Player)	Years Active (Coach)	Years Active (Analyst)	Role	Team	Nicknames	Alternate IDs	Approx. Total Winnings	Games	Population	Nationality_Count
Martinez	"Antonio ""Martinez"" Martinez (born January 29, 2001) is a Spanish professional Counter-Strike: Global Offensive player for Movistar Riders."	Antonio Martinez Sánchez		Spain	January 29, 2001 (age 22)	Active	2020 – Present			AWPer	Movistar Riders		MartinezSa	$28,311	Global Offensive	48,345,223	30
mopoz	"Alejandro ""mopoz"" Fernández (born August 7, 1996) is a Spanish professional Counter-Strike: Global Offensive player for Movistar Riders."	Alejandro Fernández-Quejo Cano		Spain	August  7, 1996 (age 27)	Active	2012 – Present			entry fragger	Movistar Riders		mopGOD	$120,174	Global Offensive	48,345,223	30
MusambaN1	"Jonathan  ""MusambaN1"" Torrent (born December 6, 1986) is a Spanish professional Counter-Strike: Global Offensive manager and coach and former Global Offensive, Counter-Strike: Source, and Counter-Strike player."	Jonathan Torrent		Spain	December  6, 1986 (age 36)	Active	2001 – 2018, 2020	2018 – Present			BIG EQUIPA			$30,240	Global Offensive	48,345,223	30
NaOw	"Iván ""NaOw"" González (born August 2, 1996) is a Spanish professional Counter-Strike: Global Offensive player."	Iván González		Spain	August  2, 1996 (age 27)	Active	2015 – Present					CarritosNaOW		$7,909	Global Offensive	48,345,223	30
nmt	"Aaron ""nmt"" Awad (born August 22, 1997) is a Spanish professional Counter-Strike: Global Offensive player."	Aaron Awad		Spain	August 22, 1997 (age 26)	Active	2016 – Present			Rifler				$9,446	Global Offensive	48,345,223	30
peelk	"Carlos ""peelk"" Barrio (born November 1, 1994) is a Spanish professional Counter-Strike: Global Offensive player."	Carlos Barrio		Spain	November  1, 1994 (age 28)	Inactive	2013 – 2020							$10,588	Global Offensive	48,345,223	30
repk3ys	"Angel ""repk3ys"" Navarro (born May 20, 2001) is a Spanish professional Counter-Strike: Global Offensive analyst for Movistar Riders."	Angel Gracia Navarro		Spain	May 20, 2001 (age 22)	Active			2020 – Present	Analyst	Movistar Riders				Global Offensive	48,345,223	30
sausol	"Pere ""sausol"" Solsona (born May 31, 2000) is a Spanish professional Counter-Strike: Global Offensive player."	Pere Solsona Saumell		Spain	May 31, 2000 (age 23)	Active	2019 – Present			lurker	Sangal Esports		sausoL	$29,820	Global Offensive	48,345,223	30
SOKER	"Aitor ""SOKER"" Fernández (born May 11, 1993) is a Spanish professional Counter-Strike: Global Offensive player of Bulgarian descent."	Aitor Fernández		Spain	May 11, 1993 (age 30)	Active	2013 – Present							$29,528	Global Offensive	48,345,223	30
Spanisfury	"Jose ""Spanisfury"" Vicente Gonzalez (born February 16, 1988) is a Spanish professional Counter-Strike: Global Offensive player and Coach."	Jose Vicente González		Spain	February 16, 1988 (age 35)	Active	2015 – 2017			Coach				$1,228	Global Offensive	48,345,223	30
SunPayus	"Alvaro ""SunPayus"" Garcia (born November 19, 1998) is a Spanish professional Counter-Strike: Global Offensive player who plays for ENCE as the AWPer."	Alvaro Fernández Garcia		Spain	November 19, 1998 (age 24)	Active	2018 – Present			AWPer	ENCE			$195,444	Global Offensive	48,345,223	30
TorPe	"Rubén ""TorPe"" Jesús Gómez (born December 25, 1991) is a Spanish professional Counter-Strike: Global Offensive player."	Rubén Jesús Gómez		Spain	December 25, 1991 (age 31)	Active	2011 – Present			AWPer	FALKE ESPORTS			$9,641	Global Offensive	48,345,223	30
YuRk0	"José ""YuRk0"" Aspas (born February 14, 1989) is a Spanish professional Counter-Strike: Global Offensive player."	José Aspas		Spain	February 14, 1989 (age 34)	Active	2008 – 2022	2022 - Present						$6,396	Global Offensive	48,345,223	30
Plopski	"Nicolas ""Plopski"" Gonzalez Zamora (born May 14, 2002) is a Swedish-Spanish professional Counter-Strike: Global Offensive player for GODSENT."	Nicolas Gonzalez Zamora		Spain	May 14, 2002 (age 21)	Active	2017 – Present			entry fragger	GODSENT			$239,461	Global Offensive	48,345,223	30
juissi	"Youssef ""juissi"" Adam (born November 20, 2002) is a Finnish-Sudanese professional Counter-Strike: Global Offensive player."	Youssef Adam		Sudan	November 20, 2002 (age 20)	Active	2020 – Present			Rifler	ENCE Academy			$5,355	Global Offensive	49,197,555	1
abdi	"Ahmed ""abdi"" Abdi (born December 29, 1990) is a Swedish professional Counter-Strike: Global Offensive coach and former player."	Ahmed Abdi		Sweden	December 29, 1990 (age 32)	Active	2016 – 2021	2022 – Present		Coach	Metizport			$83	Global Offensive		113
adamb	"Adam ""adamb"" Ångström (born January 7, 2005) is a Swedish professional Counter-Strike: Global Offensive player. He is Tim ""susp"" Ångström's twin brother."	Adam Ångström		Sweden	January  7, 2005 (age 18)	Active	2021 – Present			Rifler	Metizport			$28,773	Global Offensive		113
addi	"Andreas ""addi"" Wallenberg (born January 20, 1990) is a Swedish professional Counter-Strike: Global Offensive player and coach."	Andreas Wallenberg		Sweden	January 20, 1990 (age 33)	Active	2014 – Present	2021 – Present		Coach				$5,058	Global Offensive		113
adx	"Adam ""adx"" Larsson (born August 20, 1999) is a Swedish professional Counter-Strike: Global Offensive player."	Adam Larsson		Sweden	August 20, 1999 (age 24)	Active	2015 – Present							$1,319	Global Offensive		113
AlekS	"Alexander ""AlekS"" Andersson (born September 25, 2001) is a Swedish professional Counter-Strike: Global Offensive player."	Alexander Andersson		Sweden	September 25, 2001 (age 22)	Active	2016 – Present			In-game leader				$12,572	Global Offensive		113
b0bbzki	"Linus ""b0bbzki"" Lundqvist (born November 13, 1994) is a Swedish professional Counter-Strike: Global Offensive player. b0bbzki was previously banned from Valve-sponsored events due to a VAC ban issued on March 24, 2013, but has been unbanned following Counter-Strike's ""New RMR Eligibility Guidelines"" blog post."	Linus Lundqvist		Sweden	November 13, 1994 (age 28)	VAC Banned	2015 – Present			Rifler			bobbalainen	$12,066	Global Offensive		113
b0denmaster	"Jonathan ""b0denmaster"" Bodenmalm (born April 4, 1998) is a Swedish professional Counter-Strike: Global Offensive player and former manager."	Jonathan Bodenmalm		Sweden	April  4, 1998 (age 25)	Active	2017 – Present			AWPer			b0den	$68,398	Global Offensive		113
BENDJI	"Benjamin ""BENDJI"" Söderena (born August 21, 1995) is a Swedish professional Counter-Strike: Global Offensive player of Bosnian descent."	Benjamin Söderena		Sweden	August 21, 1995 (age 28)	Active	2012 – Present							$26,843	Global Offensive		113
benny	"Mattias ""benny"" Rosback (born August 28, 1996) is an inactive Swedish professional Counter-Strike: Global Offensive player."	Mattias Rosback		Sweden	August 28, 1996 (age 27)	Inactive	2015 – 2019			Rifler			ano, bENNY	$8,454	Global Offensive		113
bobeksde	"Jonatan ""bobeksde"" Persson (born November 21, 2003) is a Swedish professional Counter-Strike: Global Offensive player."	Jonatan Persson		Sweden	November 21, 2003 (age 19)	Active	2020 – Present			Rifler	GODSENT		bobxD	$27,225	Global Offensive		113
bq	"Adam ""bq"" Bergqvist (born August 22, 2001) is a Swedish professional Counter-Strike: Global Offensive player."	Adam Bergqvist		Sweden	August 22, 2001 (age 22)	Active	2017 – Present			Rifler	Apeks Rebels			$19,001	Global Offensive		113
Brollan	"Ludvig ""Brollan"" Brolin (born June 17, 2002) is a Swedish professional Counter-Strike: Global Offensive player for Ninjas in Pyjamas. He is one of the youngest players to play for a professional team, signing with GODSENT when he was only 15 years old. On October 17, 2018, he signed with Fnatic, and played for the organization until March 22, 2022, when he was acquired by Ninjas in Pyjamas."	Ludvig Brolin		Sweden	June 17, 2002 (age 21)	Active	2016 – Present			entry fragger	Ninjas in Pyjamas			$367,476	Global Offensive		113
Bugge	"Alexander ""Bugge"" Vahlund (born December 13, 1993) is a Swedish professional Counter-Strike: Global Offensive."	Alexander Vahlund		Sweden	December 13, 1993 (age 29)	Active	2014 – Present			Rifler			bUlGhUr	$3,358	Global Offensive		113
Bååten	"Linus ""Bååten"" Bååt Andersson (born July 1, 1999) is a Swedish professional Counter-Strike: Global Offensive player."	Linus Bååt Andersson		Sweden	July  1, 1999 (age 24)	Active	2015 – Present			support			Baaten	$39,133	Global Offensive		113
Chawzyyy	"Hugo ""Chawzyyy"" Günther (born March 11, 2005) is a Swedish professional Counter-Strike: Global Offensive player."	Hugo Günther		Sweden	March 11, 2005 (age 18)	Active	2018 – Present							$22,320	Global Offensive		113
Chrille	"Christian ""Chrille"" Lindberg (born February 13, 1988) is a Swedish professional Counter-Strike: Global Offensive analyst, coach, and former player. In September 2020, Chrille received a 10-month ban from all ESIC member events starting September 28, 2020 for exploiting a coach spectating bug during his time at Epsilon eSports and Red Reserve.  Additionally, Chrille received a five Major ban in January 2021 from Valve due to exploiting the coaching bug."	Christian Lindberg		Sweden	February 13, 1988 (age 35)	Valve Banned	2017	2016 – 2020	2021 – Present	Analyst				$907	Global Offensive		113
dalito	"Danniél Antonio ""dalito"" Morales (born May 24, 1986) is a Swedish professional Counter-Strike: Global Offensive coach and former professional Counter-Strike: Global Offensive and Counter-Strike player. He was the coach of Team Kinguin until an old VAC banned account of his was discovered."	Danniél Antonio Morales		Sweden	May 24, 1986 (age 37)	VAC Banned	2009 – 2013, 2018 – 2020,	2015 2022 – Present		Coach	MARSKALK			$382	Global Offensive		113
darti	"Joachim ""darti"" Fornstedt (born December 2, 1992) is an inactive Swedish professional Counter-Strike: Global Offensive player."	Joachim Fornstedt		Sweden	December  2, 1992 (age 30)	Inactive	2010 – Present			Rifler				$7,952	Global Offensive		113
dennis	"Dennis ""dennis"" Edman (born January 7, 1991) is a Swedish professional Counter-Strike: Global Offensive and former professional Counter-Strike player."	Dennis Edman		Sweden	January  7, 1991 (age 32)	Active	2008 – Present						dennisedman, dennismeister, DennisTheMenace, dennisBEAST	$362,401	Global Offensive		113
Devilwalk	"Jonatan ""Devilwalk"" Lundberg (born April 7, 1991) is a Swedish professional Counter-Strike: Global Offensive coach and a retired player. He is most notable for his time playing on Fnatic as a supportive rifler, later becoming its coach after Freddy ""KRIMZ"" Johansson replaced him on the active roster."	Jonatan Lundberg		Sweden	April  7, 1991 (age 32)	Active	2012 – 2014, 2015 – 2016, 2017 – 2018,	2014 – 2015, 2016 – 2017, 2018 – Present		Coach	Bad News Eagles			$37,693	Global Offensive		113
dezon	"Adam ""dezon"" Wahlqvist (born September 30, 1997) is a Swedish professional Counter-Strike: Global Offensive player. He is the younger brother of Ponkus."	Adam Wahlqvist		Sweden	September 30, 1997 (age 26)	Active	2017 – Present			Rifler				$23,882	Global Offensive		113
DH	"Dylan ""DH"" Hamrini (born June 26, 1998) is a Swedish professional Counter-Strike: Global Offensive player of Iraqi descent."	ديلان هامريني	Dylan Hamrini	Sweden	June 26, 1998 (age 25)	Active	2015 – Present			Rifler				$11,706	Global Offensive		113
djL	"Daniel ""djL"" Narancic (born January 27, 1994) is a Swedish professional Counter-Strike: Global Offensive coach for Ninjas in Pyjamas and retired player."	Daniel Narancic		Sweden	January 27, 1994 (age 29)	Active	2016 – 2019, 2020	2019 – 2020, 2020 – Present		Coach	Ninjas in Pyjamas			$18,942	Global Offensive		113
DORFEN	"Jonathan ""DORFEN"" Hindorf (born April 29, 1998) is a Swedish professional Counter-Strike: Global Offensive player."	Jonathan Hindorf		Sweden	April 29, 1998 (age 25)	Active	2016 – Present							$7,123	Global Offensive		113
downie	"Simon ""downie"" Storm (born January 6, 1995) is a Swedish Counter-Strike: Global Offensive coach and former Counter-Strike: Global Offensive and Counter-Strike player."	Simon Storm		Sweden	January  6, 1995 (age 28)	Active	200? – 2020	2021 – Present		Coach				$9,625	Global Offensive		113
draken	"William ""draken"" Sundin (born October 5, 1995) is a Swedish professional Counter-Strike: Global Offensive player. He retired after 4 years of professional play to pursue a career in VALORANT in August 2020, but returned to CS:GO less than 1.5 years later in January 2022."	William Fant Sundin		Sweden	October  5, 1995 (age 28)	Active	2015 – 2020, 2022 – Present			AWPer	IKLA		Draco	$179,214	Global Offensive		113
Dumas	"Miran ""Dumas"" Matković (formerly known as dumz) (born August 6, 1995) is an inactive Swedish professional Counter-Strike: Global Offensive player of Bosnian descent."	Miran Matković		Sweden	August  6, 1995 (age 28)	Inactive	2013 – 2018			Rifler			dumz	$17,363	Global Offensive		113
dZ	"Dennis ""dZ"" Zetterlund (born June 17, 1997) is a Swedish professional Counter-Strike: Global Offensive player."	Dennis Zetterlund		Sweden	June 17, 1997 (age 26)	Active	2016 – Present			AWPer	MARSKALK			$4,838	Global Offensive		113
emilio	"Joel ""emilio"" Mako (born January 23, 1993) is a active Swedish professional Counter-Strike: Global Offensive and Counter-Strike player that is currently banned from Valve events."	Joel Mako		Sweden	January 23, 1993 (age 30)	VAC Banned	2008 – 2019, 2022 – Present							$6,485	Global Offensive		113
eraa	"Sean  ""eraa"" Knutsson (born August 12, 2001) is a Swedish professional Counter-Strike: Global Offensive player."	Sean Knutsson		Sweden	August 12, 2001 (age 22)	Active	2017 – Present			AWPer				$39,124	Global Offensive		113
f0rest	"Patrik ""f0rest"" Lindberg (born June 10, 1988) is a Swedish professional Counter-Strike: Global Offensive player and former professional Counter-Strike player. He is known for his long-standing performance and has gained a reputation as one of the greatest Counter-Strike players of all time. He is best known for his four years of tenure with Fnatic, which he helped bring to prominence as the dominant team of 2009 and broke the record for the highest-earning team in a calendar year for Counter-Strike at the time, as well as his almost decade-long stint with Ninjas in Pyjamas that saw the team creating an invincible dynasty in the early days of Global Offensive with a record 87-map win streak."	Patrik Lindberg		Sweden	June 10, 1988 (age 35)	Active	2003 – Present						iZnoGouD, f0restw0w~, f0rp	$745,429	Global Offensive		113
FRANSSON	"Gustav  ""FRANSSON"" Fransson (born June 6, 2000) is a Swedish professional Counter-Strike: Global Offensive player."	Gustav Fransson		Sweden	June  6, 2000 (age 23)	Active	2017 – 2021, 2022 – Present			Rifler				$17,026	Global Offensive		113
FREDDyFROG	"Fredrik ""FREDDyFROG"" Gustafsson (born July 10, 1993) is a Swedish professional Counter-Strike: Global Offensive player."	Fredrik Gustafsson		Sweden	July 10, 1993 (age 30)	Active	2015 – Present			Rifler				$33,135	Global Offensive		113
friberg	"Adam ""friberg"" Friberg (born October 19, 1991) is a Swedish professional Counter-Strike: Global Offensive player and former Counter-Strike: Source player. Following a legendary 5-year tenure with Ninjas in Pyjamas, he signed for OpTic Gaming as the in-game leader. 6 months later, the team disbanded, and friberg was left teamless for 3 months until he joined Heroic. After leaving Heroic in late August 2019, he reunited with his old NiP teammates Patrik ""f0rest"" Lindberg, Christopher ""GeT_RiGhT"" Alesund, Richard ""Xizt"" Landström, and Robin ""Fifflaren"" Johansson in a new Dignitas lineup in January 2020."	Adam Friberg		Sweden	October 19, 1991 (age 31)	Active	2007 – Present					King of Banana	magikerN	$432,479	Global Offensive		113
